hotel_name,country_code,city_name,star_rating,latitude,longitude,partner_hotel_name,partner_country_code,partner_city_name,partner_star_rating,partner_latitude,partner_longitude
Campanile Hotel And Restaurant Leeuwarden,NL,Leeuwarden,3,53.1803725947,5.7976055145,Campanile Hotel & Restaurant Leeuwarden,NL,Leeuwarden,3,53.1803163342,5.7976564765
Campanile & Restaurant 's Hertogenbosch Hotel,NL,s-Hertogenbosch,3,51.7218606439,5.2938734642,Campanile Hotel & Restaurant 's Hertogenbosch,NL,Den Bosch,3,51.7222431186,5.2939081192
Hotel La Boheme,NL,Amsterdam,2,52.3641738892,4.8816204071,Hotel La BohÃ¨me,NL,Amsterdam,2,52.3645057534,4.8810759187
Hampshire - Hotel Mooi Veluwe,NL,Putten,4,52.2370726,5.6583709,Hampshire Hotel - Mooi Veluwe,NL,Putten,3,52.2371384159,5.6582701206
Nh Atlanta Rotterdam Hotel,NL,Rotterdam,4,51.9211577924,4.4791066647,NH Atlanta Rotterdam Hotel,NL,Rotterdam,4,51.9210866601,4.4787606597
Heemskerk Apartments Museumplein - Adults only,NL,Amsterdam,4,52.3557858368,4.8777405027,Heemskerk Suites Museumplein - Adults Only,NL,Amsterdam,4,52.3557911065,4.8777573556
Dorint Airport Hotel Amsterdam,NL,Amsterdam,4,52.332954,4.771838,Dorint Airport-Hotel Amsterdam,NL,Badhoevedorp,4,52.3333518197,4.7720689327
Park Hotel Amsterdam,NL,Amsterdam,4,52.3615441865,4.8832025349,Park Hotel,NL,Amsterdam,4,52.3615931452,4.8830255494
Banks Mansion Hotel,NL,Amsterdam,4,52.365308,4.893001,Banks Mansion - All Inclusive Hotel,NL,Amsterdam,4,52.3653832244,4.8930928856
Hotel Des Indes a Luxury Collection Hotel The Hague,NL,The Hague,5,52.08381,4.31359,Hotel Des Indes The Hague - a Luxury Collection Hotel,NL,The Hague,5,52.0837479551,4.3134306371
Hotel De L Europe Amsterdam,NL,Amsterdam,5,52.367526,4.894482,De L'Europe Amsterdam,NL,Amsterdam,5,52.3676388551,4.8942053318
NH Groningen Hotel de Ville,NL,Groningen,4,53.22006893,6.563805892,NH Groningen Hotel De Ville,NL,Groningen,4,53.2200656705,6.5638764203
MÃ¶venpick Hotel 's-Hertogenbosch,NL,s-Hertogenbosch,4,51.6769065857,5.3327031136,MÃ¶venpick Hotel 's Hertogenbosch,NL,Den Bosch,4,51.6769412822,5.3326606751
Park Plaza Eindhoven Hotel,NL,Eindhoven,4,51.4347381592,5.4856801033,Park Plaza Eindhoven,NL,Eindhoven,4,51.434726597,5.485483557
Postillion Hotel Bunnik,NL,Bunnik,3,52.0660400391,5.2003874779,Postillion Utrecht Bunnik,NL,Bunnik,3,52.0615117597,5.2056714892
Park Plaza Utrecht Hotel,NL,Utrecht,4,52.0915718079,5.1060800552,Park Plaza Utrecht,NL,Utrecht,4,52.0915438688,5.1066701487
Fletcher Hotel-Restaurant s-Hertogenbosch,NL,s-Hertogenbosch,4,51.7202283,5.3344703,Fletcher Hotel-Restaurant â€˜s-Hertogenbosch,NL,Den Bosch,4,51.7200365136,5.3347796202
Bastion Amsterdam Centrum Noord Hotel,NL,Amsterdam,3,52.3958587646,4.9287700653,Bastion Hotel Amsterdam Noord,NL,Amsterdam,3,52.3958202257,4.9289774895
Bastion Hotel Bussum-Zuid/Hilversum,NL,Bussum,3,52.265938,5.1623726,Bastion Hotel Bussum Hilversum,NL,Bussum,3,52.2659364735,5.1623725891
Bastion Hotel Rotterdam / Barendrecht,NL,Rotterdam,3,51.86991,4.549202,Bastion Hotel Barendrecht,NL,Barendrecht,3,51.8699116578,4.549202174
Bastion Hotel Rotterdam / Brielle - Europoort,NL,Brielle,3,51.898895,4.171213,Bastion Hotel Brielle - Europoort,NL,Brielle,3,51.8988944799,4.1712132096
Bastion Hotel Rotterdam/Rhoon,NL,Rotterdam,3,51.86882,4.4523544,Bastion Hotel Rotterdam Zuid,NL,Rotterdam,3,51.8688202566,4.4523543119
Hotel De Paris Amsterdam,NL,Amsterdam,3,52.3656594239,4.8796227132,Hotel De Paris,NL,Amsterdam,3,52.3657046455,4.8798239976
Apollofirst - Hampshire Classic,NL,Amsterdam,4,52.350396,4.8756404,Apollofirst Hotel,NL,Amsterdam,4,52.3504687615,4.8756457865
Mercure Amsterdam Centre Canal District,NL,Amsterdam,4,52.360872846,4.8930358887,Mercure Hotel Amsterdam Centre Canal District,NL,Amsterdam,4,52.3609432794,4.8934462667
NH Collection Amsterdam Barbizon Palace,NL,Amsterdam,5,52.3764915466,4.9003734589,NH Amsterdam Barbizon Palace,NL,Amsterdam,5,52.3764588252,4.9002456665
Nh Best Hotel,NL,Best,3,51.4896940309,5.3931283951,NH Best Hotel,NL,Best,3,51.489807597,5.3926563263
Nh Geldrop Hotel,NL,Geldrop,4,51.40950135,5.562434971,NH Geldrop,NL,Geldrop,4,51.4090258104,5.5626413226
Hampshire Hotel - De Broeierd Enschede,NL,Enschede,4,52.2400154,6.8436283,Hampshire Hotel â€“ De Broeierd Enschede,NL,Enschede,4,52.2397590601,6.8436033279
Worldhotel Bel Air The Hague,NL,The Hague,4,52.0901830503,4.2827314138,Marriott Hotel The Hague,NL,The Hague,4,52.0901352582,4.2827099562
Hotel Derlon Maastricht,NL,Maastricht,4,50.8477931092,5.6931388378,Derlon Hotel Maastricht,NL,Maastricht,4,50.8477626262,5.693192482
Fletcher Hotel-Restaurant Carlton,NL,Naaldwijk,4,51.991364,4.2216629,Fletcher Hotel Restaurant Carlton,NL,Naaldwijk,4,51.9913455855,4.2215009406
Wellnessresort Fontana Bad Nieuweschans,NL,Nieuweschans,0,53.1797,7.203743,Fontana Resort Bad Nieuweschans,NL,Bad-Nieuweschans,0,53.1797006787,7.2037428618
Golden Tulip Val Monte,NL,Berg En Dal,4,51.82446,5.9165373,Fletcher Parkhotel Val Monte,NL,Berg en Dal,4,51.8244594801,5.9165373445
NH Capelle Hotel,NL,Rotterdam,4,51.9576883806,4.5633226633,NH Capelle Rotterdam,NL,Capelle aan den IJssel,4,51.9578982975,4.5631858707
Golden Tulip L'Escaut,NL,Terneuzen,4,51.339516,3.82389,Golden Tulip L'Escaut Terneuzen,NL,Terneuzen,4,51.3395165738,3.823889941
NH Zandvoort,NL,Zandvoort,4,52.3844404768,4.5335662365,NH Zandvoort Hotel,NL,Zandvoort,4,52.3842685796,4.5338049531
NH Zoetermeer,NL,Zoetermeer,4,52.0462223326,4.4766926765,NH Zoetermeer Hotel,NL,Zoetermeer,4,52.0461612964,4.4765578955
WestCord Residentie Boschrijck,NL,West-Terschelling,4,53.37015,5.220421,WestCord ApartHotel Boschrijck,NL,West-Terschelling,4,53.3701533605,5.2204209566
Carlton President Hotel,NL,Utrecht,4,52.1209027,5.038205254,Carlton President,NL,Utrecht,4,52.120667295,5.0383733958
Carlton Oasis Hotel,NL,Spijkenisse,4,51.8513220131,4.3083394785,Carlton Oasis,NL,Spijkenisse,4,51.8525736316,4.3054550886
Hotel Van Oranje Autograph Collection,NL,Noordwijk,5,52.247108,4.432682,Hotel van Oranje Autograph Collection,NL,Noordwijk aan Zee,5,52.2471668196,4.4325006008
Park Plaza Victoria Amsterdam Hotel,NL,Amsterdam,4,52.3770980835,4.8979001045,Park Plaza Victoria Amsterdam,NL,Amsterdam,4,52.3773479298,4.897775352
ibis Amsterdam Airport,NL,Amsterdam,3,52.3250078905,4.7940051699,Ibis Schiphol Amsterdam Airport,NL,Badhoevedorp,3,52.3249142228,4.7938799858
Holiday Inn Amsterdam Hotel,NL,Amsterdam,4,52.33515074,4.888620176,Holiday Inn Amsterdam,NL,Amsterdam,4,52.3351505941,4.8882816732
Crowne Plaza Maastricht Hotel,NL,Maastricht,4,50.8471529617,5.6986105442,Crowne Plaza Maastricht,NL,Maastricht,4,50.8470479631,5.6985247135
Sheraton Amsterdam Airport Hotel and Conference Center,NL,Amsterdam,5,52.30814,4.756951,Sheraton Amsterdam Airport Schiphol,NL,Schiphol,4,52.3090279966,4.7599393129
Hermitage Hotel Amsterdam,NL,Amsterdam,2,52.3888768326,4.9438476563,Hotel Hermitage Amsterdam,NL,Amsterdam,2,52.3645810945,4.9033637345
Princess Hostel Amsterdam,NL,Amsterdam,2,52.3631286354,4.8754921018,Princess Hostel Leidse Square,NL,Amsterdam,0,52.3629563172,4.8754620552
Hotel The Neighbours Magnolia,NL,Amsterdam,3,52.355482,4.869103,Hotel The Neighbour's Magnolia,NL,Amsterdam,3,52.3555212162,4.8691374064
Carlton Beach Hotel,NL,The Hague,4,52.1171807185,4.2877739668,Carlton Beach,NL,Scheveningen,4,52.1171873065,4.2875979468
Holiday Inn IJmuiden Seaport Beach Hotel,NL,Ijmuiden,4,52.4582256629,4.5665574074,Holiday Inn IJmuiden Seaport Beach,NL,IJmuiden,4,52.4571992625,4.5637732744
Park Plaza Vondelpark Amsterdam Hotel,NL,Amsterdam,4,52.3542671204,4.8664369583,Park Plaza Vondelpark Amsterdam,NL,Amsterdam,4,52.3542499655,4.866425693
Hampshire Designhotel - Maastricht,NL,Maastricht,4,50.8497397,5.7027886,Hampshire - Designhotel Maastricht,NL,Maastricht,4,50.8497050318,5.7028189302
Herbergh Hotel Amsterdam Airport,NL,Amsterdam,3,52.33450157,4.773894846,Hotel Herbergh Amsterdam Airport,NL,Badhoevedorp,3,52.3345015686,4.7738948464
Fletcher Hotel-Restaurant Jan van Scorel,NL,Schoorl,4,52.7060585022,4.6920228005,Fletcher Hotel Jan van Scorel,NL,Schoorl,4,52.7075887473,4.690797329
InterContinental Amstel Amsterdam Hotel,NL,Amsterdam,5,52.35998069,4.905264437,InterContinental Amstel Amsterdam,NL,Amsterdam,5,52.3600415594,4.9054652453
Hilton Royal Parc Soestduinen Hotel,NL,Soestduinen,4,52.14196,5.29564,Hilton Royal Parc Soestduinen,NL,Soestduinen,4,52.1421999587,5.2931141853
Crowne Plaza Amsterdam-schiphol Hotel,NL,Amsterdam,4,52.29611005,4.70817771,Crowne Plaza Amsterdam Schiphol,NL,Hoofddorp,4,52.2961577608,4.7081418335
Crowne Plaza Amsterdam City Centre Hotel,NL,Amsterdam,4,52.3771977,4.895517137,Crowne Plaza Amsterdam City Centre,NL,Amsterdam,4,52.3772136647,4.8954565823
Holiday Inn - Eindhoven,NL,Eindhoven,4,51.44486922,5.475819023,Holiday Inn Eindhoven,NL,Eindhoven,4,51.44471633,5.4757136107
Malie Hotel Utrecht - Hampshire Hotels,NL,Utrecht,4,52.094345,5.13644,Malie Hotel Utrecht - Hampshire Hotel,NL,Utrecht,4,52.094346538,5.1364399865
Hampshire Hotel - Newport Huizen,NL,Huizen,4,52.3113638,5.2499937,Hampshire Hotel â€“ Newport Huizen,NL,Huizen,4,52.311643574,5.2505207062
Nh Groningen Hotel,NL,Groningen,4,53.22008295,6.576069164,NH Groningen Hotel,NL,Groningen,4,53.2202868901,6.5762011707
Bilderberg Residence Heideborgh,NL,Barneveld,4,52.2249,5.70852,Bilderberg RÃ©sidence Groot Heideborgh,NL,Garderen,4,52.2198634238,5.7034546137
Campanile Hotel And Restaurant Breda,NL,Breda,3,51.5911758985,4.8341345787,Campanile Hotel & Restaurant Breda,NL,Breda,3,51.5913492009,4.8337939382
New West Inn,NL,Amsterdam,3,52.3622650042,4.7947432457,New West Inn Amsterdam,NL,Amsterdam,3,52.3623732173,4.7946631908
Campanile Hotel And Restaurant Venlo,NL,Venlo,3,51.3922161272,6.1753973282,Campanile Hotel & Restaurant Venlo,NL,Venlo,3,51.3922420873,6.1754590273
Campanile Hotel And Restaurant Amersfoort,NL,Amersfoort,3,52.1890885903,5.4072475433,Campanile Hotel & Restaurant Amersfoort,NL,Amersfoort,3,52.1893171541,5.407390371
Hotel Kasteel Kerckebosch,NL,Utrecht,0,52.0746375568,5.2591891768,Kasteel Kerckebosch,NL,Zeist,4,52.0749924612,5.2590984106
Campanile Hotel And Restaurant Delft,NL,Delft,3,52.02651966,4.3635773,Campanile Hotel & Restaurant Delft,NL,Delft,3,52.0248760108,4.3652576208
Campanile Hotel And Restaurant Zwolle,NL,Zwolle,3,52.5163066064,6.0906952873,Campanile Hotel & Restaurant Zwolle,NL,Zwolle,3,52.5161825067,6.0912430286
Hilton Amsterdam Hotel,NL,Amsterdam,5,52.350894855,4.8720308783,Hilton Amsterdam,NL,Amsterdam,5,52.3512961323,4.8720636964
MÃ¶venpick Hotel Den Haag-Voorburg,NL,The Hague,4,52.0656318665,4.3590106964,MÃ¶venpick Hotel Den Haag - Voorburg,NL,Voorburg,4,52.0659054711,4.3591435254
Luxer Hotel,NL,Amsterdam,3,52.3760807866,4.8991913907,Hotel Luxer,NL,Amsterdam,3,52.3760273656,4.8992170394
Hotel Schiphol A4 Hotel - Amsterdam Airport,NL,Amsterdam,4,52.258438,4.688852,Van der Valk Hotel A4 Schiphol,NL,Hoofddorp,4,52.2588199793,4.6884584427
Campanile Hotel And Restaurant Gorinchem,NL,Gorinchem,3,51.8410410645,5.0046372414,Campanile Hotel & Restaurant Gorinchem,NL,Gorinchem,3,51.8412183835,5.0044548512
Hampshire Hotel - Wesseling,NL,Dwingeloo,4,52.834347,6.3658853,Hotel Wesseling,NL,Dwingeloo,4,52.8343476203,6.3658851385
Campanile Hotel And Restaurant Rotterdam Oost,NL,Rotterdam,3,51.9474295392,4.5440563303,Campanile Hotel & Restaurant Rotterdam Oost,NL,Rotterdam,3,51.9473830604,4.5439973474
Campanile Hotel And Restaurant Amsterdam Zuid Oost,NL,Amsterdam,3,52.3112831446,4.9851391039,Campanile Hotel & Restaurant Amsterdam Zuid-Oost,NL,Amsterdam,3,52.3117288442,4.9862158299
Droste's dineren en logeren,NL,Tubbergen,4,52.421078,6.7980185,Droste's Herberg,NL,Tubbergen,4,52.4210786063,6.7980185151
Hampshire Hotel - Bon'Aparte,NL,Barchem,4,52.13868708,6.423206627,Boetiek Hotel BonAparte Lochem,NL,Barchem,4,52.1386870811,6.4232066274
Old Quarter Hotel,NL,Amsterdam,2,52.3759117126,4.8988718987,Hotel Old Quarter,NL,Amsterdam,2,52.3759119269,4.8988629878
Duin & Kruidberg Country Estate,NL,Santpoort-Noord,4,52.4343279311,4.6259790125,Landgoed Duin & Kruidberg,NL,Santpoort-Noord,4,52.4343245953,4.6257859469
Hampshire Hotel â€“ Stakenberg,NL,Elspeet,3,52.31111,5.7506776,Landgoed Stakenberg,NL,Elspeet,3,52.3111106319,5.7506775856
Ibis Amsterdam City West Hotel,NL,Amsterdam,3,52.39199,4.84534,ibis Amsterdam City West,NL,Amsterdam,3,52.3922488195,4.8501044512
Fletcher Hotel-Restaurant Doorwerth,NL,Doorwerth,4,51.977386,5.7805896,Fletcher Hotel Restaurant Doorwerth - Arnhem,NL,Doorwerth,4,51.977386538,5.7805895805
Saillant Hotel Gulpenerland,NL,Gulpen,4,50.8159139349,5.9022760391,Hotel-Restaurant Gulpenerland,NL,Gulpen,4,50.8159291868,5.9024128318
Worldhotel Grand Winston The Hague - Rijswijk,NL,Rijswijk,4,52.03826022,4.323958253,Worldhotel Grand Winston,NL,Rijswijk,4,52.0383413692,4.3238013983
Steyn Hotel,NL,Zeist,3,52.0897102356,5.2458949089,Steyn Apartments,NL,Zeist,3,52.0899918815,5.2455505729
Campanile Vlaardingen Hotel,NL,Vlaardingen,3,51.9232305068,4.3625190854,Campanile Hotel & Restaurant Vlaardingen,NL,Vlaardingen,3,51.9231825361,4.3624386191
Hotel Restaurant Cafe Borst,NL,Castricum,0,52.55906,4.65639,Hotel Fase Fier Eten en Drinken,NL,Castricum,0,52.5590588727,4.6563899517
Old Nickel Hotel,NL,Amsterdam,1,52.37631,4.899617,The Old Nickel Hotel,NL,Amsterdam,1,52.3763294696,4.89954561
Ibis Den Haag City Center,NL,The Hague,3,52.0762684323,4.3071395159,ibis Den Haag City Centre,NL,The Hague,3,52.0762927479,4.3069182336
Lloyd Hotel,NL,Amsterdam,3,52.3742485046,4.9346528053,Lloyd Hotel and Cultural Embassy,NL,Amsterdam,3,52.3743268661,4.9348032475
Hotel St. Martenslane Maastricht,NL,Maastricht,3,50.8515017274,5.7034921646,St. Martenslane Maastricht,NL,Maastricht,3,50.8515220478,5.7032802701
Dutch Design Hotel Artemis,NL,Amsterdam,4,52.3417267,4.8249305,Hotel Artemis Amsterdam,NL,Amsterdam,4,52.3417058724,4.8250392079
NH Den Haag Hotel,NL,The Hague,4,52.0787559763,4.336874485,NH Den Haag,NL,The Hague,4,52.0788853775,4.3370126188
Ibis Styles Amsterdam CS Hotel,NL,Amsterdam,3,52.378036499,4.8967299461,ibis Styles Amsterdam Central Station,NL,Amsterdam,3,52.3780266173,4.8965992034
Max Brown Museum Square,NL,Amsterdam,0,52.3601660486,4.8823461197,Max Brown Hotel Museum Square,NL,Amsterdam,0,52.3599989709,4.8820468783
Hostellerie Schuddebeurs - Hampshire Classic,NL,Schuddebeurs,3,51.67523,3.9449286,Hampshire Hotel â€“ Hostelerie Schuddebeurs,NL,Schuddebeurs,3,51.6752264659,3.9449286461
NH Veluwe Conference Centre Sparrenhorst,NL,Nunspeet,4,52.3785424092,5.797665015,NH Veluwe Sparrenhorst,NL,Nunspeet,4,52.3776295577,5.7975625992
Hotel De Rustende Jager,NL,Nieuw-Vennep,4,52.264156,4.635412,Best Western Hotel De Rustende Jager,NL,Nieuw-Vennep,4,52.264155405,4.635412395
Hotel Flipper,NL,Amsterdam,2,52.3492350492,4.9084854126,Budget Hotel Flipper,NL,Amsterdam,2,52.3489163755,4.9086087942
Ons Epen,NL,Epen,3,50.7769,5.9126186,Appartementen Hotel Ons Epen,NL,Epen,3,50.7769027419,5.9126186371
Roemer Hotel,NL,Amsterdam,4,52.361713,4.878204,Hotel Roemer Amsterdam,NL,Amsterdam,4,52.3617303243,4.8780785501
WestCord Residentie Vlierijck,NL,Oost-Vlieland,4,53.297447,5.0740743,Vlierijck,NL,Oost-Vlieland,4,53.2974480228,5.0740742683
Hotel Inner Amsterdam,NL,Amsterdam,2,52.357026,4.877238,Inner Amsterdam,NL,Amsterdam,0,52.3569550153,4.8774180561
White Tulip Hostel,NL,Amsterdam,0,52.3747542486,4.8973864317,The White Tulip Hostel,NL,Amsterdam,0,52.374700212,4.8973153532
Damrak Inn Hotel,NL,Amsterdam,2,52.3755531971,4.8963940144,Budget Hotel Damrak Inn,NL,Amsterdam,2,52.3750653674,4.8953506351
Hampshire Hotel Mijdrecht,NL,Amsterdam,4,52.216045,4.874712,Hampshire Hotel - Mijdrecht,NL,Mijdrecht,4,52.2160953835,4.8742228746
Grand Hotel Amrath Amsterdam,NL,Amsterdam,5,52.3744464026,4.9037647247,Grand Hotel AmrÃ¢th Amsterdam,NL,Amsterdam,5,52.3746691,4.9038492143
Fletcher Hotel-Restaurant De Geulvallei,NL,Valkenburg,3,50.8703162,5.7918981,Fletcher Hotel Restaurant De Geulvallei,NL,Valkenburg,3,50.8702604452,5.7919339836
Park Plaza Amsterdam Airport Hotel,NL,Amsterdam,4,52.3488085994,4.7674648403,Park Plaza Amsterdam Airport,NL,Lijnden,4,52.3482945866,4.7652286291
citizenM Hotel Schiphol Airport,NL,Amsterdam,4,52.309338,4.7559133,citizenM Schiphol Airport,NL,Schiphol,4,52.3093362984,4.7559133172
Hotel Cafe Restaurant Abina,NL,Amsterdam,1,52.311311,4.84688,Hotel CafÃ© Restaurant Abina,NL,Amstelveen,0,52.3113598856,4.8466685414
Pollentia Club Resort,ES,Majorca,4,39.863388,3.0933595,PortBlue Club Pollentia Resort & Spa,ES,Alcudia,4,39.8633878087,3.0933594704
Mercure Sao Paulo Pamplona Hotel,BR,Sao Paulo,3,-23.56854988,-46.65812954,Mercure Sao Paulo Pamplona,BR,Sao Paulo,3,-23.5684672022,-46.658255363
Novotel SP Jaragua Conventions Hotel,BR,Sao Paulo,4,-23.548377,-46.643363,Novotel JaraguÃ¡ SÃ£o Paulo Conventions,BR,Sao Paulo,4,-23.5484211212,-46.6432419419
Room Mate Leo Hotel,ES,Granada,3,37.1741638184,-3.6002707481,Room Mate Leo,ES,Granada,3,37.1742116925,-3.6002728343
Astoria Hotel,GR,Thessaloniki,3,40.6362876892,22.9362030029,Astoria,GR,ThessalonÃ­ki,3,40.6363681682,22.9361110926
Axos Hotel,GR,Crete Island,3,35.3691635132,24.533164978,Axos,GR,PlatanÃ©s,3,35.3693415599,24.5334255695
Gastro-Posada Real Casa del Abad,ES,Cubillas De Santa Marta,4,41.9136990077,-4.7800692916,Gastro-Posada Casa del Abad,ES,Ampudia,4,41.9136990077,-4.7800692916
Campanile Barcelona South Cornella De Llobregat Hotel,ES,Cornella De Llobregat,3,41.3487216979,2.0831108093,Campanile Barcelona Sud - Cornella,ES,CornellÃ  de Llobregat,3,41.3481065581,2.0827353001
Margarita Studios Ambelas,GR,Paros Island,3,37.10591689,25.26511073,Margarita Studios,GR,Ambelas,3,37.1063083522,25.2648505569
Hampton Park Hotel,BR,Sao Paulo,3,-23.570732,-46.65775,Hampton Park By BHG,BR,Sao Paulo,3,-23.5707314308,-46.6577484255
Hotel Restaurant Arcen,NL,Arcen,3,51.47406,6.17979,Hotel Arcen,NL,Arcen,3,51.4740008173,6.1798605323
Hotel Barcelo Santa Cruz Contemporaneo,ES,Tenerife,3,28.4743877581,-16.253027916,Barcelo Santa Cruz ContemporÃ¡neo,ES,Santa Cruz de Tenerife,3,28.474101292,-16.2529219687
Hotel Zorbas Beach Village,GR,Crete Island,2.5,35.5921669006,24.0821170807,Zorbas Beach Village Hotel,GR,Stavros,0,35.5915947283,24.0822914243
Bed and Breakfast Fashion House,ES,Barcelona,0,41.3901252747,2.1750044823,Fashion House,ES,Barcelona,0,41.3902015218,2.1748504043
Marvi Hotel,ES,Barcelona,2,41.3857844655,2.1650576592,Hotel Marvi,ES,Barcelona,2,41.3858408125,2.1650321782
Possidi Holidays Resort & Suites Hotel,GR,Chalkidiki,5,39.9783032879,23.3740460873,Possidi Holidays Resort & Suite Hotel,GR,Possidi,5,39.9783779792,23.3739173412
Rusticae Hotel Quinta de los Cedros,ES,Madrid,4,40.459827,-3.663009,La Quinta de los Cedros,ES,Madrid,4,40.459665468,-3.662994951
HG la Molina Hotel,ES,La Molina-Alp,4,42.335378,1.941555,HG La Molina,ES,La Molina,4,42.337142606,1.9421446323
Hotel Sun Palace Albir,ES,Albir,4,38.566994491,-0.0672575831,Sun Palace Albir & Spa,ES,Albir,4,38.5670182556,-0.0657945871
Hotel Jupiter,NL,Amsterdam,2.5,52.3649101257,4.8778114319,Jupiter Hotel,NL,Amsterdam,3,52.364911939,4.8778116703
Hotel Rustico Spa Finisterrae,ES,Finisterre,2,42.904964447,-9.2691116333,Hotel RÃºstico Spa Finisterrae,ES,Fisterra,2,42.9050045652,-9.2692007202
Rusticae Torre Do Rio Hotel,ES,Caldas De Reyes,0,42.609500911,-8.6218321323,Torre do Rio,ES,Caldas de Reis,0,42.6097022653,-8.62185359
Liostasi Ios Hotel and Spa,GR,Ios,4,36.7248306274,25.2776508331,Liostasi Hotel & Suites,GR,Ios Chora,4,36.7249544798,25.2779102325
Domes of Elounda All Suite Resort,GR,Crete Island,5,35.286266,25.72526,Domes of Elounda Autograph Collection,GR,EloÃºnda,5,35.2862649827,25.7252597809
Elba Costa Ballena Beach And Thalasso Resort,ES,Cadiz,4,36.67475887,-6.408036053,Elba Costa Ballena Beach & Thalasso Resort,ES,Costa Ballena,4,36.6747588721,-6.4080360532
Mas del Joncar Hotel,ES,Sant Pere Pescador,0,42.1938018799,3.0913999081,Mas del Joncar,ES,Sant Pere Pescador,0,42.1941564973,3.0915784836
The Margi Hotel,GR,Athens,5,37.8137016296,23.7738838196,The Margi,GR,Athens,5,37.814742434,23.7732768059
Ilissos Hotel,GR,Athens,4,37.9614715576,23.7203731537,Ilissos,GR,Athens,4,37.9613287597,23.7201851606
Apartments Ciutat Vella,ES,Barcelona,2.5,41.3821147602,2.1731907874,Apartaments Ciutat Vella,ES,Barcelona,0,41.3821147602,2.1731907874
Summerland Holidays Resort,GR,Kastraki,0,37.0052053234,25.3888678551,Summerland Holiday's Resort,GR,Kastraki,0,37.0057528058,25.3888007998
Hotel Ritz by Belmond,ES,Madrid,5,40.415745,-3.6926441,Hotel Ritz Madrid,ES,Madrid,5,40.4157465114,-3.6926440895
Hostal Bahia,ES,Madrid,0,40.4150810242,-3.7031800747,Hostal Bahia Madrid,ES,Madrid,0,40.4150521846,-3.703173101
Hotel Castillo de Gorraiz Golf and Spa,ES,Gorraiz,4,42.8218803106,-1.5790271759,Hotel Castillo de Gorraiz Golf & Spa,ES,Gorraiz,4,42.8219669109,-1.578887701
Aparthotel Panoramica Garden,ES,Tenerife,3,28.3973274231,-16.5812454224,Hotel Panoramica Garden,ES,Los Realejos,3,28.3973558207,-16.5811640024
Sun Rise,GR,Zakynthos Island,2,37.80537613,20.87563276,Sun Rise Hotel,GR,Tsilivi,2,37.8053761348,20.8756327629
Rio 180Â° Boutique Hotel,BR,Rio De Janeiro,0,-22.934488,-43.195366,The Villa Rio,BR,Rio de Janeiro,0,-22.934488997,-43.1953668594
Iliovasilema Hotel,GR,Santorini,0,36.4335492633,25.4210329056,Iliovasilema Hotel & Suites,GR,Imerovigli,0,36.4339096419,25.421448648
Royal Garden Villas & Spa,ES,Tenerife,5,28.1130218506,-16.748292923,Royal Garden Villas,ES,Adeje,5,28.1130222815,-16.748238802
